Name;Categories;Cast
The Brutalist (2024);Drama;Adrien Brody, Felicity Jones, Guy Pearce, Joe Alwyn
Amenaza en el aire (2025);Action, Crime, Drama;Michelle Dockery, Mark Wahlberg, Topher Grace, Leah Remini
Better Man (2024);Biography, Fantasy, Music;Robbie Williams, Jonno Davies, Steve Pemberton, Alison Steadman
Bring Them Down (2024);Drama, Thriller;Christopher Abbott, Barry Keoghan, Colm Meaney, Nora-Jane Noone
Mickey's Mouse Trap (2024);Comedy, Horror, Thriller;Simon Phillips, Sophie McIntosh, Madeline Kelman, Ben Harris
Captain America: Brave New World (2025);Action, Adventure, Sci-Fi;Harrison Ford, Rosa Salazar, Liv Tyler, Giancarlo Esposito
Bridget Jones: Loca por él (2025);Comedy, Drama, Romance;Leo Woodall, Renée Zellweger, Hugh Grant, Isla Fisher
Rosario (2025);Horror;David Dastmalchian, Paul Ben-Victor, José Zúñiga, Emeraude Toubia
Aún estoy aquí (2024);Biography, Drama, History;Fernanda Torres, Fernanda Montenegro, Selton Mello, Valentina Herszage
Policán (2025);Animation, Action, Adventure;Pete Davidson, Poppy Liu, Lil Rel Howery, Isla Fisher
Bambi: Una aventura en el bosque (2024);Adventure, Drama, Family;Mylène Farmer
The Sloth Lane (2024);Animation, Adventure, Family;Leslie Jones, Remy Hii, Olivia Vásquez, Teo Vergara
Flow, un mundo que salvar (2024);Animation, Adventure, Family;
El mono (2025);Horror;Theo James, Osgood Perkins, Elijah Wood, Tatiana Maslany
Este amor sí que duele (2025);Action, Comedy;Ke Huy Quan, Ariana DeBose, Mustafa Shakir, Lio Tipton
Biónica (2024);Sci-Fi;Fabián Arenillas, Julia Martínez Rubio, Luciana Grasso, Santiago Pedrero
Septiembre 5 (2024);Drama, History, Thriller;Peter Sarsgaard, John Magaro, Ben Chaplin, Leonie Benesch
Novocaine (2025);Action, Comedy, Thriller;Amber Midthunder, Jack Quaid, Ray Nicholson, Betty Gabriel
Las vidas de Sing Sing (2023);Drama;Colman Domingo, Clarence Maclin, Sean San Jose, Paul Raci
Blanca Nieves (2025);Adventure, Family, Fantasy;Gal Gadot, Rachel Zegler, Andrew Burnap, Patrick Page
Una película de Minecraft (2025);Action, Adventure, Comedy;Jennifer Coolidge, Jason Momoa, Jack Black, Emma Myers
El Amateur: Operación Venganza (2025);Action, Thriller;Rachel Brosnahan, Jon Bernthal, Caitríona Balfe, Rami Malek
Sinners (2025);Drama, Horror, Thriller;Hailee Steinfeld, Jack O'Connell, Michael B. Jordan, Wunmi Mosaku
Sneaks (2025);Animation, Family;Anthony Mackie, Laurence Fishburne, Keith David, Martin Lawrence
Thunderbolts* (2025);Action, Adventure, Crime;Sebastian Stan, Florence Pugh, Rachel Weisz, Geraldine Viswanathan
Eternal Return (2025);Romance;Naomi Scott, Kit Harington, Sonoya Mizuno, Simon Callow
Misión imposible: Sentencia Final (2025);Action, Adventure, Thriller;Shea Whigham, Hannah Waddingham, Tom Cruise, Tramell Tillman
Karate Kid: Legends (2025);Action, Drama, Family;Jackie Chan, Joshua Jackson, Ming-Na Wen, Ralph Macchio
Ballerina (2025);Action, Thriller;Keanu Reeves, Ana de Armas, Catalina Sandino Moreno, Norman Reedus
Cómo entrenar a tu dragón (2025);Action, Adventure, Comedy;Mason Thames, Nico Parker, Gerard Butler, Julian Dennison
Elio (2025);Animation, Adventure, Comedy;Yonas Kibreab, Zoe Saldana, Brad Garrett, August Linn
F1 (2025);Drama, Sport;Brad Pitt, Kerry Condon, Javier Bardem, Tobias Menzies
Superman (2025);Action, Adventure, Fantasy;Isabela Merced, Nicholas Hoult, Milly Alcock, Rachel Brosnahan
The Carpenter's Son (2025);Horror;Nicolas Cage, Noah Jupe, FKA twigs, Souheila Yacoub
Homo Argentum (2025);Comedy;Guillermo Francella
Groove Tails (2025);Animation;
Tron 3 (2025);Action, Adventure, Sci-Fi;Evan Peters, Sarah Desjardins, Jodie Turner-Smith, Gillian Anderson
The Epiphany (2025);Thriller;Sylvester Stallone
Avatar: Fire and Ash (2025);Action, Adventure, Fantasy;Zoe Saldana, Kate Winslet, Sigourney Weaver, Sam Worthington
